               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077638,             0.02876,              0.0379,             0.23845,             0.23635,             0.17236,            0.077056,             0.05258,            0.011465,            0.018912,            0.070129,            0.003319,            0.003319
                   1,            0.056312,            0.025537,            0.022174,             0.37076,             0.38357,             0.31818,             0.14135,            0.047812,            0.010559,             0.01013,            0.040107,           0.0066304,           0.0066304
                   2,            0.052054,            0.023862,            0.017815,              0.4983,             0.36773,             0.38759,             0.18651,            0.044987,            0.010292,           0.0095695,            0.010063,           0.0099198,           0.0099198
                   3,            0.048886,            0.023835,            0.016817,             0.37283,             0.44277,             0.35357,             0.15809,            0.045906,            0.010669,           0.0089283,            0.009901,            0.009901,            0.009901
                   4,            0.046876,            0.023294,             0.01532,             0.52371,             0.45884,             0.46103,             0.23846,            0.042602,            0.011002,           0.0088833,            0.009901,            0.009901,            0.009901
                   5,            0.047173,            0.024137,            0.015507,              0.5094,             0.45784,             0.44862,               0.218,            0.042192,            0.010732,           0.0088634,            0.009868,            0.009868,            0.009868
                   6,            0.044406,            0.023115,            0.014172,             0.47745,             0.44332,             0.43558,              0.2073,            0.039231,            0.010698,           0.0078884,            0.009835,            0.009835,            0.009835
                   7,            0.043213,            0.023276,            0.012513,             0.60975,             0.49588,             0.51869,              0.2619,            0.038386,             0.01007,           0.0066669,            0.009802,            0.009802,            0.009802
                   8,            0.043004,            0.023072,            0.014182,             0.56505,             0.51754,             0.52914,             0.26656,            0.039804,            0.010201,            0.006671,            0.009769,            0.009769,            0.009769
                   9,            0.042237,            0.023905,            0.012823,             0.61928,             0.52636,             0.53888,             0.27581,            0.035985,             0.01026,           0.0060849,            0.009736,            0.009736,            0.009736
                  10,            0.041033,            0.023189,            0.012525,             0.67979,             0.53731,             0.60856,             0.33292,            0.037705,           0.0099876,           0.0056838,            0.009703,            0.009703,            0.009703
                  11,            0.041699,            0.023173,            0.012926,             0.63247,             0.56476,             0.60507,             0.32031,            0.037703,           0.0095341,           0.0063831,             0.00967,             0.00967,             0.00967
                  12,            0.039551,            0.022606,            0.011303,             0.63886,             0.56035,             0.58545,             0.31651,            0.035826,           0.0099464,           0.0060511,            0.009637,            0.009637,            0.009637
                  13,            0.039742,            0.022408,            0.012434,             0.64269,             0.58211,              0.5939,             0.31893,            0.035605,            0.009736,           0.0066071,            0.009604,            0.009604,            0.009604
                  14,            0.038499,            0.021653,            0.011547,             0.68682,              0.5849,             0.64204,             0.36025,            0.034803,            0.010061,           0.0053675,            0.009571,            0.009571,            0.009571
                  15,            0.038578,            0.022737,            0.010863,             0.65789,             0.55297,             0.60374,             0.33942,            0.035927,           0.0099374,           0.0048134,            0.009538,            0.009538,            0.009538
                  16,            0.037177,             0.02186,           0.0099609,             0.66849,             0.55816,             0.63342,             0.35684,            0.034948,           0.0093229,           0.0040227,            0.009505,            0.009505,            0.009505
                  17,            0.036639,            0.021609,           0.0094552,             0.74357,             0.60392,             0.68007,             0.37198,            0.035441,           0.0094969,            0.003847,            0.009472,            0.009472,            0.009472
                  18,            0.036948,            0.021718,           0.0090905,             0.68604,             0.60238,             0.63515,             0.34855,            0.035972,            0.009606,           0.0061088,            0.009439,            0.009439,            0.009439
                  19,            0.035802,            0.021512,           0.0089139,             0.61858,             0.46321,             0.51741,             0.28609,            0.037321,           0.0099708,           0.0074383,            0.009406,            0.009406,            0.009406
                  20,              0.0364,            0.021019,           0.0086734,             0.71772,             0.61575,             0.64647,              0.3565,            0.035356,           0.0093127,           0.0040147,            0.009373,            0.009373,            0.009373
                  21,            0.037079,               0.021,           0.0086524,              0.6611,             0.64681,             0.68948,             0.39098,            0.033666,           0.0094011,           0.0047124,             0.00934,             0.00934,             0.00934
                  22,            0.036707,            0.021173,           0.0092331,             0.71096,             0.62063,             0.67477,             0.39745,             0.03395,           0.0093043,            0.006772,            0.009307,            0.009307,            0.009307
                  23,            0.035404,            0.020741,           0.0075505,             0.74157,             0.64992,             0.69384,             0.40505,            0.033949,           0.0091662,           0.0041683,            0.009274,            0.009274,            0.009274
                  24,            0.034873,            0.021173,           0.0075228,              0.7142,             0.63946,             0.68056,             0.38496,            0.031217,           0.0092978,           0.0038465,            0.009241,            0.009241,            0.009241
                  25,            0.034652,            0.020851,           0.0080768,             0.70705,             0.60727,             0.65899,             0.38314,            0.032439,           0.0094437,           0.0050066,            0.009208,            0.009208,            0.009208
                  26,            0.035872,            0.020915,           0.0083353,             0.69644,             0.61491,             0.66995,             0.36176,            0.033289,           0.0093136,           0.0043788,            0.009175,            0.009175,            0.009175
                  27,            0.035011,            0.021391,           0.0076107,             0.66424,              0.6473,             0.66521,             0.37605,            0.033063,           0.0093926,           0.0036757,            0.009142,            0.009142,            0.009142
                  28,            0.035346,            0.020248,           0.0078527,             0.68463,             0.63996,             0.67572,             0.38185,            0.034011,           0.0095598,            0.004317,            0.009109,            0.009109,            0.009109
                  29,            0.034238,            0.020877,           0.0073015,             0.74364,             0.65859,             0.69695,             0.40694,            0.032635,           0.0088809,           0.0033098,            0.009076,            0.009076,            0.009076
                  30,            0.033841,            0.020709,           0.0064695,             0.76661,             0.62306,             0.69398,             0.41323,             0.03127,           0.0090733,           0.0035103,            0.009043,            0.009043,            0.009043
                  31,            0.033953,            0.020473,           0.0068765,             0.67868,             0.64637,             0.69301,             0.42386,            0.033543,           0.0089908,           0.0032596,             0.00901,             0.00901,             0.00901
                  32,            0.034504,             0.02081,           0.0072534,             0.72905,             0.63933,             0.71337,             0.41881,            0.032394,           0.0091087,           0.0041906,            0.008977,            0.008977,            0.008977
                  33,            0.033136,            0.020111,           0.0064957,             0.73022,             0.63564,             0.70439,             0.42061,            0.032119,            0.008928,           0.0046728,            0.008944,            0.008944,            0.008944
                  34,            0.033745,            0.019708,           0.0070547,              0.7994,             0.65009,             0.73087,             0.44922,            0.031863,           0.0090267,           0.0041888,            0.008911,            0.008911,            0.008911
                  35,            0.032119,            0.019585,           0.0066873,             0.77215,             0.67495,             0.72806,             0.45473,            0.031366,           0.0087737,           0.0035621,            0.008878,            0.008878,            0.008878
                  36,            0.032395,            0.019618,           0.0060728,             0.72313,              0.6867,             0.72116,             0.41956,            0.032035,           0.0087525,            0.003734,            0.008845,            0.008845,            0.008845
                  37,            0.031871,            0.019485,           0.0065719,             0.77576,              0.6987,             0.75613,             0.45471,            0.031862,           0.0084102,           0.0045201,            0.008812,            0.008812,            0.008812
                  38,            0.031825,            0.018987,           0.0059006,             0.79422,             0.62359,             0.71904,             0.43722,            0.032122,           0.0088791,           0.0031268,            0.008779,            0.008779,            0.008779
                  39,            0.031768,            0.019337,            0.005828,             0.72409,             0.63973,             0.68381,             0.40268,            0.032362,           0.0090905,           0.0032267,            0.008746,            0.008746,            0.008746
                  40,            0.032174,            0.018989,             0.00578,             0.79314,             0.68165,              0.7518,             0.46012,            0.031837,           0.0085958,           0.0034302,            0.008713,            0.008713,            0.008713
                  41,            0.032778,            0.020301,           0.0063383,             0.75516,              0.6839,             0.74354,             0.45626,            0.031221,           0.0087225,           0.0037528,             0.00868,             0.00868,             0.00868
                  42,            0.031833,            0.019549,           0.0069397,             0.79908,             0.66715,             0.74159,             0.45256,            0.030568,            0.008804,            0.003562,            0.008647,            0.008647,            0.008647
                  43,            0.030324,            0.019338,           0.0061885,             0.72729,             0.66293,             0.70878,             0.43385,            0.030692,           0.0086558,           0.0041852,            0.008614,            0.008614,            0.008614
                  44,            0.031915,            0.018853,            0.005636,             0.76708,             0.68032,             0.74951,             0.46046,            0.031346,           0.0086366,           0.0035047,            0.008581,            0.008581,            0.008581
                  45,            0.032047,            0.019885,           0.0061658,             0.71028,             0.67712,             0.71978,             0.44585,            0.032391,           0.0088544,           0.0040595,            0.008548,            0.008548,            0.008548
                  46,            0.029814,            0.018831,           0.0066918,             0.80628,             0.62793,             0.73267,             0.45614,            0.032116,           0.0087479,           0.0032466,            0.008515,            0.008515,            0.008515
                  47,             0.03162,            0.018763,           0.0055143,             0.73159,              0.6563,             0.71582,              0.4517,            0.030674,           0.0090845,            0.003598,            0.008482,            0.008482,            0.008482
                  48,            0.031217,            0.019138,           0.0058266,             0.76788,              0.6443,             0.71237,             0.44388,            0.031721,           0.0089425,           0.0051631,            0.008449,            0.008449,            0.008449
                  49,              0.0302,            0.018767,           0.0065049,             0.73552,             0.65699,             0.71919,             0.44793,            0.031172,            0.008647,           0.0041052,            0.008416,            0.008416,            0.008416
                  50,            0.030928,            0.019027,           0.0051989,              0.8415,              0.6786,             0.76702,             0.47018,            0.030351,           0.0085449,           0.0038132,            0.008383,            0.008383,            0.008383
                  51,            0.030843,            0.018346,           0.0053462,             0.70597,              0.7094,             0.74483,             0.46828,            0.030918,           0.0086364,           0.0038793,             0.00835,             0.00835,             0.00835
                  52,            0.030497,            0.018446,           0.0051224,             0.76731,             0.69641,             0.74834,             0.48141,            0.029741,           0.0084717,           0.0040962,            0.008317,            0.008317,            0.008317
                  53,            0.030352,            0.018579,           0.0049206,             0.76267,             0.69295,              0.7659,              0.4862,            0.030996,           0.0085607,           0.0041566,            0.008284,            0.008284,            0.008284
                  54,            0.029969,            0.018522,           0.0051013,             0.82402,             0.68202,             0.75364,             0.48167,            0.030487,           0.0084738,            0.003506,            0.008251,            0.008251,            0.008251
                  55,            0.030786,            0.018042,           0.0055335,             0.75073,             0.67626,             0.73792,             0.46393,            0.030486,           0.0086659,           0.0035981,            0.008218,            0.008218,            0.008218
                  56,            0.030959,            0.018401,           0.0051511,             0.81257,             0.68703,             0.76712,             0.48634,            0.031526,           0.0085484,           0.0043131,            0.008185,            0.008185,            0.008185
                  57,            0.029816,            0.018139,           0.0050463,              0.8277,             0.68787,             0.76318,              0.4929,            0.030297,           0.0085928,           0.0043618,            0.008152,            0.008152,            0.008152
                  58,             0.02952,            0.018431,            0.005113,             0.79542,             0.63709,             0.71471,             0.46083,            0.031541,           0.0089596,           0.0049408,            0.008119,            0.008119,            0.008119
                  59,            0.030636,            0.018013,           0.0054045,             0.77667,             0.71005,             0.76492,              0.4877,            0.030082,           0.0085412,           0.0027887,            0.008086,            0.008086,            0.008086
                  60,            0.029619,            0.018567,           0.0050521,             0.81036,             0.68168,             0.75678,             0.48335,            0.029276,           0.0085843,           0.0029379,            0.008053,            0.008053,            0.008053
                  61,            0.029399,            0.017545,            0.004885,             0.75552,             0.71138,             0.75936,             0.49699,             0.03006,           0.0084624,           0.0036083,             0.00802,             0.00802,             0.00802
                  62,            0.028757,            0.018053,           0.0045332,             0.77818,             0.70105,              0.7596,             0.48841,            0.030426,           0.0085096,           0.0034779,            0.007987,            0.007987,            0.007987
